0,66247,-138,,,,,,
456,284,1160,-13000,-14108,33.33,2860,74,-146
455,1640,2080,-15752,33.33,3623,-47,-138,
456,284,1160,-13000,-14108,33.33,2860,74,-146
455,1640,2080,-15752,33.33,3623,-47,-138,
456,284,1160,-13,,,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,6340,360,-13780,33.24,-305,-210,-20,
2,6344,536,-13588,33.24,-362,-16,-85,
3,6328,380,-13840,33.24,-358,-246,-194,
4,6316,268,-13680,33.33,-401,-66,-152,
5,6424,176,-13724,33.28,-383,-129,-167,
6,6384,-4648,-13048,33.28,133,-628,80,
7,6396,176,-13644,33.38,-75,-249,-152,
8,6328,188,-13656,33.47,-73,-288,-173,
9,6368,160,-13840,33.33,-155,-207,-257,
10,6340,220,-13704,33.33,-307,-303,-198,
11,6236,3528,-14316,33.28,-611,164,-172,
12,7300,5220,-13256,33.28,-528,622,-1323,
13,6460,-8684,-13224,33.33,-25,-981,372,
14,5204,-2448,-14800,33.28,-516,-555,982,
15,6664,8372,-13784,33.33,-707,707,-1259,
16,7236,-7272,-12572,33.33,181,-833,-52,
17,5252,496,-14760,33.38,-405,-901,1013,
18,6432,152,-13632,33.24,-361,-329,-108,
19,6384,160,-13772,33.42,-342,-304,-165,
20,6368,100,-13716,33.38,-304,-258,-172,
Ú                                                                               ,,,,,,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,6396,292,-13540,33.24,-725,13,-173,
2,6564,388,-13720,33.24,-834,357,-123,
3,6544,384,-13624,33.33,-515,221,-46,
4,5416,4904,-16040,33.28,-2700,-451,1448,
5,7488,44,-13736,33.33,-366,528,804,
6,6336,744,-13568,33.28,-1853,-291,-1708,
7,6472,984,-13912,33.42,-1899,-1297,-2178,
8,6204,1264,-13972,33.24,-2464,-1378,-2486,
9,5280,1040,-13564,33.24,-4514,-2287,-542,
10,5132,1892,-12688,33.28,-2256,-1995,1062,
11,5304,2632,-13980,33.28,-1611,-962,2601,
12,5044,3232,-12572,33.33,-589,-346,2261,
13,5880,3216,-12828,33.28,371,-1044,3173,
14,5748,1676,-14484,33.33,278,-390,2308,
15,6108,1164,-14440,33.24,-206,-422,743,
16,6088,1072,-13620,33.33,-27,-90,129,
17,5884,1588,-13632,33.24,495,16,446,
18,5900,1616,-13520,33.24,400,510,411,
19,6136,1264,-14000,33.28,1069,434,157,
20,6112,944,-14732,33.24,410,-418,-579,
21,2264,4140,-15060,33.33,321,-417,-120,
22,4892,-2668,-13684,33.33,-201,2325,1157,
23,2300,9156,-15960,33.28,747,-2030,-734,
24,6084,-6300,-12320,33.33,347,1569,728,
25,6316,364,-13344,33.28,1703,-574,-101,
26,6004,188,-13604,33.28,1535,-1023,47,
27,6088,60,-14020,33.28,357,-1134,-14,
28,6672,-1248,-13396,33.19,27,-231,-1069,
29,5764,-116,-13708,33.33,-114,-921,-118,
30,5880,-116,-13908,33.28,-507,-226,-140,
31,5820,-268,-13944,33.24,-468,262,-196,
32,5956,-72,-13836,33.33,-446,307,-132,
33,7124,5992,-12556,33.33,-62,-1169,-1284,
34,4604,-5316,-15692,33.28,-810,273,1121,
35,6424,8220,-12560,33.33,-128,-991,-866,
36,5236,-8412,-15232,33.28,-145,-1225,-243,
37,6804,5192,-12476,33.28,57,-904,-1207,
38,6264,-4872,-13844,33.33,12,-689,-1053,
39,4448,-2916,-15200,33.33,-769,231,1144,
40,5616,-112,-14016,33.28,-374,-172,-140,
41,5744,-100,-14020,33.24,-311,-269,-130,
42,5700,-40,-13996,33.33,-324,-348,-134,
43,5632,-136,-14044,33.33,-381,-288,-129,
44,5532,0,-13988,33.38,-345,-100,-181,
45,5664,-56,-13884,33.24,-359,-44,-175,
46,5736,-76,-13968,33.24,-318,-256,-137,
47,5692,-136,-14028,33.28,-360,-105,-168,
48,5976,8300,-12932,33.28,-497,-1,-25,
49,5252,5556,-13744,33.33,-712,349,788,
50,5656,7532,-13184,33.33,-625,356,458,
51,6168,8324,-12644,33.28,-523,-136,-117,
52,6456,-3956,-13760,33.19,133,-968,-1223,
53,5036,3800,-14240,33.28,-815,653,710,
54,5696,208,-13696,33.28,-341,-20,-165,
55,5872,-148,-14360,33.28,-818,2084,-362,
56,3284,-2752,-15212,33.24,-4124,-49,848,
57,6008,4,-14824,33.19,-2880,1464,-388,
58,6364,1000,-13464,33.38,-3417,788,189,
59,5644,496,-13012,33.33,-1570,532,915,
60,5556,488,-12960,33.24,-769,1049,2264,
61,5676,552,-12884,33.33,-1918,1603,4363,
62,7660,1596,-13384,33.28,-1331,2608,4229,
63,8060,2280,-12488,33.28,384,1915,3288,
64,7784,1312,-11836,33.38,1576,1609,1680,
65,9492,296,-12756,33.33,1328,1527,2337,
66,10236,244,-12900,33.33,1038,1199,82,
67,9052,-872,-11600,33.33,-196,-488,-190,
68,8412,-728,-11848,33.28,-1865,1315,-442,
69,9476,-292,-15060,33.33,-4729,1913,-1021,
70,8500,476,-12848,33.33,-1979,-1150,-447,
71,8376,1032,-12688,33.19,-1138,-1078,-35,
72,8364,1056,-12712,33.28,33,-1746,17,
73,8184,692,-13212,33.33,-95,-777,-310,
74,8076,536,-12696,33.24,-99,-346,-315,
75,8172,548,-13040,33.28,-301,-566,-283,
76,8204,680,-12816,33.28,-592,-763,-182,
77,6876,956,-13108,33.33,258,-1810,-181,
78,6644,4796,-13704,33.24,7,-961,-362,
79,6488,3676,-13652,33.24,-336,-883,-281,
80,8596,1124,-13020,33.38,-956,618,-167,
81,8976,-3436,-12536,33.28,-170,-255,25,
82,7668,-2216,-12836,33.33,-503,-957,-269,
83,7968,928,-12796,33.38,-521,-341,-274,
84,7792,656,-13108,33.24,-803,-207,-284,
85,7748,764,-13140,33.33,-371,-394,-449,
86,7760,912,-12852,33.24,-747,-53,-373,
87,7712,792,-13160,33.33,-444,-189,-643,
88,7672,956,-13172,33.28,-1073,-11,-811,
89,7872,1056,-13000,33.33,-1724,205,-3209,
90,7340,2064,-12716,33.28,-3270,1898,-3296,
91,8316,400,-12688,33.38,1043,283,482,
92,9420,-1660,-12100,33.42,-453,274,226,
