,67205,-202.7.00,237,-163,,,,
58,5584,2132,-13952,29.47,-361,-161,-166,
59,5660,2136,-13808,29.61,-313,-164,-124,
60,5580,2148,-13948,29.57,-350,-185,-127,
61,5568,2032,-13880,29.52,-301,-207,-125,
62,5664,2060,-13908,29.57,-423,-188,-128,
63,5588,2168,-13860,29.66,-340,-211,-134,
64,5568,2104,-13960,29.61,-306,-157,-114,
65,5596,2080,-13892,29.57,-364,-200,-130,
66,5592,2088,-13924,29.61,-377,-154,-131,
67,5620,2052,-13792,29.57,-357,-204,-190,
68,5568,2140,-13908,29.61,-356,-161,-120,
69,5632,2116,-13856,29.61,-353,-180,-171,
70,5568,2128,-13912,29.66,-380,-176,-137,
71,5624,2092,-13836,29.61,-342,-193,-173,
72,5532,2028,-13896,29.57,-343,-213,-180,
73,5704,2196,-14048,29.61,-318,-180,-161,
74,5612,2100,-13776,29.57,-412,-203,-194,
75,5584,2120,-13972,29.57,-337,-175,-151,
76,5628,1996,-13976,29.61,-396,-137,-170,
77,5580,2032,-13764,29.66,-329,-172,-186,
78,5660,2120,-13944,29.52,-428,-199,-248,
79,5656,2064,-13984,29.61,-398,-240,-210,
80,5552,2080,-13980,29.66,-371,-220,-206,
81,5556,2156,-13948,29.61,-370,-218,-190,
82,5680,2160,-13852,29.57,-373,-207,-191,
83,5588,2064,-13784,29.57,-407,-234,-230,
84,5620,2068,-14044,29.61,-399,-227,-216,
85,5512,2100,-13996,29.57,-328,-227,-181,
86,5628,2140,-13768,29.61,-450,-247,-211,
87,5504,2152,-13872,29.61,-342,-167,-199,
88,5580,2292,-13904,29.57,-360,-167,-153,
89,5592,2060,-13896,29.61,-319,-212,-198,
90,5620,2132,-13900,29.61,-381,-163,-181,
91,5580,2224,-13796,29.57,-364,-188,-226,
92,5580,2048,-13856,29.61,-365,-168,-199,
93,5640,2100,-13992,29.57,-357,-170,-172,
94,5604,2228,-13996,29.57,-377,-181,-188,
95,5560,2160,-13892,29.61,-323,-174,-209,
96,5660,2132,-13832,29.57,-353,-164,-190,
97,5632,2160,-13948,29.61,-342,-191,-171,
98,5624,2088,-13968,29.52,-403,-222,-166,
99,5616,2152,-13948,29.66,-331,-173,-132,
100,5716,2160,-13940,29.61,-353,-173,-165,
101,5492,2128,-13740,29.57,-380,-177,-220,
102,5612,2132,-13788,29.57,-383,-184,-229,
103,5664,2172,-14020,29.61,-357,-179,-215,
104,5576,2196,-13904,29.61,-315,-158,-207,
105,5596,2208,-13912,29.57,-333,-165,-143,
106,5544,2204,-13956,29.57,-341,-188,-197,
107,5564,2176,-13892,29.66,-321,-169,-135,
108,5528,2120,-13896,29.61,-329,-192,-177,
109,5668,2204,-13884,29.61,-287,-181,-156,
110,5576,2168,-13924,29.66,-403,-226,-156,
111,5524,2208,-13792,29.57,-324,-173,-149,
112,5660,2176,-13852,29.57,-342,-137,-124,
113,5660,2128,-13600,29.57,-308,-175,-134,
114,5600,2172,-13800,29.66,-401,-196,-149,
115,5568,2116,-13932,29.61,-356,-183,-150,
116,5616,2232,-13976,29.61,-356,-200,-133,
117,5704,2060,-13960,29.61,-345,-205,-156,
118,5552,2052,-13864,29.57,-359,-177,-149,
119,5560,2084,-13896,29.66,-399,-205,-151,
120,5584,2116,-13900,29.57,-393,-185,-166,
121,5616,2084,-13904,29.57,-303,-192,-154,
122,5656,2168,-13924,29.61,-431,-191,-198,
123,5588,2136,-13848,29.71,-399,-173,-169,
124,5588,2168,-13892,29.61,-350,-172,-147,
125,5564,2200,-13896,29.66,-357,-242,-205,
126,5572,2228,-13924,29.66,-382,-186,-167,
127,5560,2204,-13956,29.71,-379,-232,-195,
128,5600,2132,-13916,29.71,-353,-215,-186,
129,5624,2176,-13932,29.61,-392,-201,-185,
130,5580,2096,-13716,29.57,-372,-228,-194,
131,5500,2148,-13848,29.66,-381,-201,-146,
132,5500,2216,-13932,29.71,-367,-195,-188,
133,5564,2196,-13872,29.66,-331,-208,-159,
134,5588,2216,-13892,29.57,-425,-176,-150,
135,5556,2196,-13888,29.57,-411,-226,-150,
136,5504,2240,-13996,29.75,-344,-173,-149,
137,5552,2160,-13796,29.61,-339,-187,-220,
138,5592,2220,-13784,29.61,-373,-145,-159,
139,5572,2148.¸                                                              ,,,,,,
140,5524,2092,-13916,29.61,-305,-173,-142,
141,5628,1972,-13888,29.61,-441,-166,-169,
142,5616,2072,-13772,29.66,-403,-229,-194,
143,5640,2228,-13744,29.71,-376,-172,-180,
144,5560,2120,-13828,29.75,-378,-241,-188,
145,5508,2100,-13992,29.66,-337,-202,-133,
146,5500,2200,-13752,29.61,-415,-205,-222,
147,5464,2240,-14120,29.57,-396,-214,-211,
148,5500,2120,-14032,29.61,-318,-210,-171,
149,5500,2244,-14032,29.66,-317,-209,-159,
150,5612,2152,-14020,29.71,-289,-160,-95,
151,5576,2160,-13976,29.66,-286,-146,-112,
152,5584,2140,-13860,29.66,-313,-140,-149,
153,5680,2172,-13944,29.57,-362,-142,-130,
154,5512,2004,-13960,29.71,-350,-192,-139,
155,5516,2184,-13924,29.71,-390,-182,-181,
156,5548,2216,-13884,29.66,-348,-149,-126,
157,5544,2076,-13976,29.71,-358,-141,-91,
158,5564,2136,-13796,29.66,-299,-186,-182,
159,5612,2036,-13968,29.61,-310,-198,-223,
160,5560,2208,-13908,29.66,-447,-262,-194,
161,5388,2148,-14116,29.71,-396,-254,-236,
162,5512,2140,-13832,29.66,-355,-133,-37,
163,5584,2120,-13836,29.71,-395,-170,-120,
164,5516,2148,-13828,29.71,-319,-121,-109,
165,5772,2080,-13972,29.66,-397,-97,-63,
166,5528,2052,-13948,29.66,-307,-281,-192,
167,5476,2088,-13944,29.71,-288,-146,-147,
168,5468,2120,-13896,29.66,-365,-143,-171,
169,5572,1996,-13868,29.66,-286,-219,-148,
170,5588,2132,-13868,29.75,-339,-173,-175,
171,5688,2060,-13904,29.75,-264,-122,-64,
172,5376,2048,-13816,29.61,-175,-396,-65,
173,5672,2100,-13900,29.75,-473,-201,-189,
174,5552,2108,-13948,29.61,-459,-223,-176,
175,5604,2096,-13816,29.66,-307,-104,-76,
176,5720,2136,-13976,29.71,-435,-225,-47,
177,5572,1992,-13700,29.75,-440,-398,-403,
178,5600,2196,-13820,29.61,-273,-71,-79,
179,5556,2096,-14064,29.66,-439,-209,-163,
180,5568,2104,-13912,29.71,-386,-163,-174,
181,5624,2088,-13892,29.75,-217,-10,-40,
182,5624,2092,-13984,29.61,-329,-214,-205,
183,5584,1996,-14040,29.57,-358,-42,-159,
184,5768,2000,-13840,29.61,-275,-146,-191,
185,5576,2040,-13844,29.71,-377,-156,-359,
186,5444,2156,-13968,29.66,-242,-19,-118,
187,5496,2080,-13896,29.66,-456,-118,-172,
188,5648,1980,-13832,29.57,-322,-56,-83,
189,5732,2048,-13976,29.71,-284,-140,-185,
190,5640,1960,-13880,29.75,-363,-183,-196,
191,5556,2136,-13856,29.71,-294,-113,-254,
192,5740,2020,-13924,29.66,-308,-113,-176,
193,5608,2024,-13772,29.66,-430,-207,-331,
194,5560,2060,-13792,29.71,-226,-78,-198,
195,5736,2048,-13992,29.75,-339,-149,-159,
196,5664,1968,-13820,29.71,-429,-222,-159,
197,5644,1996,-13772,29.66,-492,-259,-231,
198,5632,2096,-13900,29.71,-481,-287,-294,
199,5684,2116,-13988,29.61,-486,-244,-175,
200,5644,2164,-13780,29.66,-443,-234,-202,
201,5528,2236,-13840,29.71,-361,-201,-215,
202,5716,2168,-14040,29.71,-379,-184,-154,
203,5688,2144,-13812,29.75,-429,-243,-232,
204,5656,2160,-13820,29.71,-421,-200,-178,
205,5596,2184,-13800,29.66,-449,-204,-173,
206,5580,2228,-14064,29.66,-460,-176,-215,
207,5624,2164,-13932,29.66,-413,-198,-171,
208,5544,2196,-13896,29.66,-375,-252,-200,
209,5656,2240,-13876,29.71,-352,-189,-217,
210,5648,2176,-13860,29.66,-438,-218,-261,
211,5536,2228,-13828,29.66,-398,-203,-239,
212,5620,2224,-13928,29.61,-339,-166,-162,
213,5536,2304,-13812,29.75,-323,-191,-185,
214,5620,2216,-13920,29.71,-390,-196,-189,
215,5544,2196,-13696,29.71,-375,-179,-175,
216,5596,2164,-13984,29.66,-375,-185,-197,
217,5532,2332,-13824,29.71,-369,-146,-165,
218,5568,2312,-14004,29.66,-360,-158,-164,
219,5584,2172,-13936,29.71,-337,-174,-177,
220,5704,2228,-13788,29.66,-383,-181,-165,
221,5460,2228,-13860,29.71,-393,-213,-205,
222,5536,2112,-13928,29.71,-304,-157,-100,
223,5612,2196,-13868,29.66,-391,-177,-129,
224,5720,2208,-13936,29.71,-393,-197,-162,
225,5524,2244,-13964,29.66,-353,-191,-126,
226,5516,2232,-13812,29.71,-388,-198,-158,
227,5640,2288,-13888,29.66,-385,-184,-133,
228,5720,2168,-13880,29.71,-355,-153,-105,
229,5524,2272,-13948,29.66,-325,-183,-158,
230,5656,2156,-13844,29.66,-338,-166,-89,
231,5596,2184,-13796,29.66,-417,-167,-158,
232,5648,2320,-14068,29.71,-362,-181,-166,
233,5704,2216,-13936,29.71,-337,-106,-124,
234,5472,2196,-13952,29.75,-317,-172,-126,
235,5604,2224,-13808,29.71,-415,-237,-163,
236,5604,2232,-13728,29.66,-431,-249,-169,
237,5656,2212,-13776,29.8,-384,-180,-115,
238,5496,2164,-13904,29.71,-347,-120,-79,
239,5672,2232,-13892,29.75,-367,-156,-111,
240,5632,2196,-13664,29.71,-353,-213,-187,
241,5596,2204,-13820,29.71,-448,-203,-134,
242,5588,2316,-13736,29.75,-328,-219,-175,
243,5608,2236,-13904,29.75,-340,-122,-157,
244,5712,2144,-13932,29.75,-384,-166,-201,
245,5552,2192,-13876,29.71,-339,-159,-178,
246,5620,2216,-13900,29.71,-390,-194,-201,
247,5736,2108,-13820,29.71,-395,-183,-203,
248,5620,2268,-13800,29.66,-316,-177,-180,
249,5580,2216,-13868,29.75,-314,-184,-241,
250,5500,2284,-13856,29.75,-343,-186,-228,
251,5572,2256,-13832,29.71,-326,-224,-288,
252,5592,2208,-13876,29.71,-383,-190,-195,
253,5556,2320,-13808,29.75,-401,-221,-256,
254,5560,2296,-13932,29.75,-367,-193,-246,
255,5628,2240,-13728,29.66,-361,-182,-194,
256,5572,2156,-13824,29.8,-385,-188,-222,
257,5544,2296,-13736,29.8,-387,-234,-176,
258,5572,2328,-13780,29.71,-377,-224,-193,
259,5620,2308,-13944,29.75,-367,-213,-175,
260,5568,2308,-13876,29.75,-390,-196,-156,
261,5468,2296,-13796,29.71,-362,-224,-172,
262,5548,2232,-13876,29.8,-342,-170,-128,
263,5468,2308,-13764,29.71,-312,-185,-115,
264,5652,2244,-13848,29.75,-376,-182,-130,
265,5548,2280,-13852,29.75,-349,-176,-153,
266,5512,2288,-13772,29.8,-388,-138,-109,
267,5516,2404,-13892,29.71,-331,-186,-133,
268,5548,2288,-13824,29.75,-363,-192,-116,
269,5504,2284,-13844,29.75,-348,-196,-143,
270,5616,2304,-13988,29.71,-385,-172,-160,
271,5500,2260,-13792,29.71,-371,-186,-143,
272,5580,2328,-13764,29.66,-372,-176,-155,
273,5528,2312,-13828,29.75,-377,-194,-185,
274,5608,2244,-13932,29.8,-296,-182,-123,
275,5660,2252,-13912,29.71,-404,-176,-124,
276,5556,2324,-13816,29.8,-396,-214,-154,
277,5532,2288,-13876,29.66,-300,-164,-121,
278,5508,2264,-13852,29.75,-314,-154,-100,
279,5644,2264,-13848,29.71,-326,-128,-116,
280,5556,2264,-13776,29.8,-371,-193,-150,
281,5492,2340,-13836,29.75,-387,-185,-127,
282,5588,2236,-13928,29.75,-386,-175,-159,
283,5620,2316,-13852,29.75,-395,-184,-154,
284,5540,2352,-13860,29.8,-389,-166,-137,
285,5596,2280,-13860,29.71,-357,-196,-117,
286,5656,2252,-13900,29.8,-383,-213,-156,
287,5636,2236,-13748,29.75,-311,-165,-189,
288,5728,2200,-13808,29.85,-407,-194,-124,
289,5500,2280,-13768,29.8,-425,-207,-177,
290,5524,2224,-13952,29.8,-358,-169,-145,
291,5600,2180,-13832,29.75,-393,-198,-137,
292,5556,2224,-13848,29.75,-370,-179,-156,
293,5520,2296,-13768,29.75,-416,-225,-190,
294,5496,2308,-13752,29.75,-372,-195,-135,
295,5536,2276,-13860,29.71,-350,-220,-156,
296,5588,2340,-13848,29.8,-384,-202,-196,
297,5548,2296,-14028,29.71,-385,-198,-106,
