,67205,-202.7.00,237,-163,,,,
470,5468,2492,-13716,29.94,-459,-236,-210,
471,5448,2524,-13876,29.89,-389,-186,-189,
472,5592,2460,-13764,29.89,-373,-208,-118,
473,5588,2488,-13824,29.94,-353,-226,-219,
474,5536,2500,-13764,29.85,-396,-219,-182,
475,5500,2488,-13824,29.85,-359,-200,-158,
476,5524,2412,-13964,29.8,-332,-166,-90,
477,5484,2532,-13956,29.89,-330,-190,-191,
478,5528,2528,-13808,29.85,-283,-197,-106,
479,5504,2480,-13780,29.85,-325,-148,-101,
480,5608,2460,-13896,29.89,-324,-187,-120,
481,5612,2448,-13948,29.89,-290,-169,-81,
482,5492,2464,-13772,29.94,-355,-163,-147,
483,5444,2532,-13884,29.85,-363,-153,-133,
484,5476,2424,-13892,29.85,-411,-212,-149,
485,5580,2444,-13788,29.89,-281,-216,-146,
486,5456,2452,-13940,29.89,-271,-125,-136,
487,5676,2392,-13756,29.94,-322,-153,-157,
488,5568,2400,-13928,29.85,-436,-215,-187,
489,5452,2712,-13912,29.85,-307,-122,-72,
490,5608,2448,-13712,29.89,-377,-205,-157,
491,5644,2292,-13932,29.89,-198,-233,-106,
492,5472,2348,-13920,29.94,-353,-115,-117,
493,5588,2388,-13868,29.94,-296,-151,-92,
494,5680,2356,-13868,29.89,-384,-129,-102,
495,5592,2520,-13880,29.94,-374,-157,-138,
496,5548,2456,-13764,29.94,-314,-118,-89,
497,5600,2284,-13936,29.8,-410,-224,-176,
498,5532,2528,-13736,29.85,-243,-97,-72,
499,5696,2324,-13800,29.85,-464,-202,-178,
500,5596,2448,-13800,29.89,-400,-172,-121,
501,5508,2376,-13788,29.89,-426,-206,-162,
502,5556,2360,-13824,29.8,-422,-180,-111,
503,5636,2332,-13748,29.8,-396,-190,-89,
504,5580,2396,-13876,29.85,-442,-196,-178,
505,5500,2448,-13880,29.94,-403,-214,-141,
506,5596,2344,-13804,29.8,-282,-162,-122,
507,5596,2400,-13820,29.99,-437,-148,-141,
508,5616,2420,-13852,29.89,-384,-191,-135,
509,5524,2400,-13824,29.85,-355,-163,-129,
510,5656,2372,-13592,29.85,-263,-155,-68,
511,5436,2408,-13996,29.89,-416,-169,-133,
512,5632,2388,-13840,29.89,-357,-168,-148,
513,5616,2516,-13864,29.94,-371,-175,-131,
514,5632,2500,-13880,30.04,-390,-174,-172,
515,5556,2500,-13744,30.04,-384,-194,-179,
516,5588,2480,-13828,29.99,-392,-175,-111,
517,5596,2472,-13816,29.94,-386,-203,-158,
518,5440,2448,-13948,29.94,-453,-217,-122,
519,5588,2644,-13880,29.94,-331,-211,-155,
520,5608,2476,-13784,30.04,-471,-181,-200,
521,5480,2500,-13816,29.89,-463,-204,-185,
522,5492,2432,-13792,29.89,-412,-164,-154,
523,5684,2444,-13904,30.04,-356,-217,-153,
524,5636,2512,-13756,29.94,-402,-155,-106,
525,5628,2536,-13796,29.94,-454,-253,-226,
526,5572,2492,-13792,29.99,-430,-222,-198,
527,5592,2516,-13724,29.89,-427,-257,-172,
528,5608,2572,-13716,29.89,-417,-236,-171,
529,5420,2560,-13860,29.89,-422,-220,-176,
530,5516,2496,-13908,29.94,-391,-219,-192,
531,5588,2656,-13852,29.94,-318,-221,-132,
532,5552,2592,-14000,29.94,-129,-137,-83,
533,5540,2484,-13808,29.99,-345,-186,-171,
534,5540,2560,-13812,29.89,-412,-187,-164,
535,5544,2524,-13856,29.89,-390,-150,-150,
536,5636,2616,-13876,30.04,-411,-192,-214,
537,5628,2592,-13860,29.94,-408,-161,-142,
538,5480,2516,-13872,29.94,-389,-207,-127,
539,5416,2520,-13828,29.85,-403,-188,-153,
540,5432,2520,-13764,29.89,-396,-175,-161,
541,5600,2564,-13820,29.8,-369,-168,-144,
542,5520,2612,-13688,29.94,-327,-228,-124,
543,5556,2532,-13900,29.94,-201,-146,-58,
544,5508,2484,-13764,29.94,-284,-72,-69,
545,5500,2560,-13848,29.89,-375,-126,-97,
546,5568,2488,-13780,29.85,-349,-101,-141,
547,5512,2552,-13904,29.99,-292,-159,-119,
548,5632,2508,-13796,29.99,-273,-111,-80,
549,5548,2456,-13924,29.94,-363,-147,-62,
550,5608,2508,-13976,29.99,-467,-233,-218,
551,5636,2460,-13800,29.99,-471,-204,-144,
552,5588,2652,-13996,29.94,-436,-179,-130,
553,5588,2544,-13884,29.94,-429,-242,-169,
554,5436,2564,-13780,29.94,-391,-169,-171,
555,5588,2456,-13788,29.89,-434,-189,-180,
556,5600,2524,-13920,29.85,-347,-153,-127,
557,5684,2484,-13824,29.85,-253,-158,-93,
558,5720,2544,-13740,29.85,-421,-163,-71,
559,5624,2564,-13880,29.89,-382,-164,-81,
560,5572,2536,-13688,29.94,-322,-145,-94,
561,5600,2500,-13744,29.89,-346,-189,-175,
562,5528,2476,-13804,29.89,-435,-188,-155,
563,5572,2500,-13792,29.94,-414,-249,-182,
564,5572,2580,-13704,29.85,-454,-203,-158,
565,5560,2576,-13924,29.99,-406,-207,-211,
566,5568,2596,-13812,30.08,-438,-260,-195,
567,5736,2632,-13712,29.99,-445,-225,-228,
568,5624,2640,-13784,29.94,-379,-229,-146,
569,5584,2612,-13768,29.94,-387,-237,-161,
570,5544,2692,-13992,29.94,-345,-209,-178,
571,5548,2540,-13816,29.99,-398,-242,-180,
572,5488,2580,-13852,29.89,-382,-228,-183,
573,5536,2632,-13788,29.94,-349,-172,-145,
574,5660,2576,-13864,29.85,-282,-220,-155,
575,5504,2612,-13772,29.94,-360,-190,-128,
576,5536,2648,-13712,29.99,-344,-158,-135,
577,5504,2588,-13704,29.99,-328,-170,-109,
578,5612,2616,-13912,29.89,-387,-200,-123,
579,5556,2668,-13816,29.94,-336,-174,-121,
580,5520,2568,-13828,29.89,-330,-192,-121,
581,5444,2620,-13800,29.99,-360,-188,-148,
582,5572,2532,-13800,29.94,-415,-197,-86,
583,5476,2664,-13720,29.94,-381,-212,-129,
584,5556,2668,-13876,29.89,-342,-170,-111,
585,5616,2648,-13892,29.99,-336,-148,-105,
586,5576,2608,-13792,29.94,-349,-156,-137,
587,5488,2632,-13832,29.94,-436,-215,-145,
588,5544,2656,-13724,29.89,-378,-197,-160,
589,5548,2688,-13716,29.94,-362,-166,-135,
590,5652,2680,-13760,29.94,-382,-201,-142,
591,5576,2644,-13912,29.94,-351,-173,-175,
592,5556,2704,-13708,29.99,-339,-197,-125,
593,5568,2580,-13676,29.99,-343,-218,-158,
594,5672,2608,-13828,29.99,-384,-168,-109,
595,5620,2660,-13800,29.94,-396,-215,-144,
596,5532,2604,-13800,29.94,-311,-176,-138,
597,5596,2640,-13772,30.04,-346,-177,-116,
598,5592,2592,-13752,29.8,-339,-164,-182,
599,5596,2576,-13816,29.99,-383,-228,-200,
600,5596,2568,-13724,30.04,-395,-213,-206,
601,5448,2684,-13768,29.94,-391,-202,-140,
602,5564,2676,-13668,29.94,-387,-211,-170,
603,5624,2608,-13752,29.89,-391,-208,-149,
604,5628,2708,-13744,29.99,-363,-232,-153,
605,5632,2692,-13788,29.94,-324,-208,-176,
606,5468,2600,-13820,30.04,-405,-173,-128,
607,5512,2712,-13720,29.99,-389,-192,-172,
608,5476,2704,-13720,29.99,-370,-135,-134,
609,5556,2684,-13832,29.94,-359,-149,-145,
610,5568,2748,-13884,30.04,-268,-137,-84,
611,5560,2712,-13812,29.89,-335,-199,-128,
612,5416,2568,-13820,29.99,-350,-163,-157,
613,5484,2680,-13876,29.89,-372,-163,-90,
614,5512,2604,-13860,29.85,-379,-159,-101,
615,5648,2608,-13900,29.94,-363,-144,-90,
616,5516,2576,-13784,29.99,-362,-149,-131,
617,5476,2596,-13732,29.99,-339,-161,-115,
618,5616,2656,-13684,29.89,-428,-184,-155,
619,5508,2716,-13792,29.94,-363,-167,-113,
620,5520,2636,-13776,29.85,-361,-155,-117,
621,5480,2592,-13732,29.94,-288,-170,-111,
622,5636,2648,-13816,29.89,-370,-199,-133,
623,5552,2568,-13892,29.89,-315,-181,-148,
624,5604,2572,-13800,29.99,-305,-187,-99,
625,5644,2648,-13740,30.04,-360,-163,-150,
626,5592,2616,-13848,30.04,-352,-168,-135,
627,5684,2700,-13828,30.04,-347,-169,-105,
628,5540,2608,-13820,29.99,-354,-182,-120,
629,5540,2600,-13892,29.99,-324,-207,-100,
630,5568,2592,-13820,29.94,-461,-199,-184,
631,5600,2616,-13888,30.04,-400,-172,-169,
632,5468,2660,-13920,29.94,-379,-174,-111,
633,5496,2748,-13740,30.04,-360,-216,-167,
634,5560,2632,-13940,29.94,-396,-202,-184,
635,5592,2688,-13744,29.89,-427,-216,-195,
636,5480,2696,-13808,29.99,-369,-204,-177,
637,5388,2668,-13744,29.99,-394,-221,-183,
638,5564,2656,-13808,29.99,-402,-217,-167,
639,5556,2624,-13844,30.04,-372,-214,-176,
640,5468,2712,-13808,29.94,-377,-198,-137,
641,5488,2576,-13904,29.94,-296,-193,-184,
642,5632,2668,-13916,29.99,-479,-209,-179,
643,5488,2676,-13736,29.99,-415,-197,-146,
644,5492,2724,-13744,29.89,-335,-174,-112,
645,5440,2704,-13796,29.85,-285,-177,-89,
646,5524,2728,-13792,29.94,-326,-172,-122,
647,5520,2684,-13780,29.99,-355,-186,-166,
648,5492,2652,-13720,29.99,-378,-178,-132,
649,5512,2668,-13760,29.94,-385,-174,-151,
650,5472,2644,-13832,30.04,-362,-162,-126,
651,5560,2712,-13740,30.04,-361,-168,-140,
652,5472,2600,-14032,29.89,-373,-189,-147,
653,5560,2672,-13776,29.99,-378,-174,-98,
654,5536,2676,-13788,30.04,-396,-221,-166,
655,5452,2700,-13820,29.94,-341,-161,-109,
656,5480,2728,-13884,30.08,-372,-179,-110,
657,5524,2644,-13660,29.99,-322,-195,-117,
658,5548,2612,-13848,29.99,-385,-202,-151,
659,5508,2656,-13900,30.04,-363,-159,-112,
660,5536,2724,-13808,30.04,-328,-187,-171,
661,5564,2728,-13808,29.94,-352,-138,-139,
662,5492,2576,-13796,29.99,-357,-171,-143,
663,5552,2780,-13856,29.99,-359,-160,-97,
664,5556,2624,-13748,30.04,-344,-178,-126,
665,5528,2660,-13784,29.94,-381,-190,-105,
666,5644,2656,-13796,30.04,-412,-198,-138,
667,5528,2744,-13868,29.99,-332,-158,-75,
668,5500,2572,-13964,29.99,-392,-178,-167,
669,5548,2616,-13948,29.94,-352,-195,-106,
670,5624,2648,-13692,30.04,-387,-215,-176,
671,5556,2572,-13600,30.08,-378,-195,-198,
672,5524,2744,-13732,29.99,-418,-203,-192,
673,5624,2732,-13860,30.04,-357,-208,-175,
674,5588,2652,-13816,29.94,-357,-180,-165,
675,5580,2708,-13748,30.04,-346,-208,-192,
676,5500,2712,-13852,29.94,-397,-251,-204,
677,5552,2592,-13780,30.04,-380,-214,-86,
678,5560,2720,-13708,29.99,-443,-197,-173,
679,5516,2704,-13844,29.99,-338,-197,-176,
680,5532,2748,-13776,30.08,-339,-161,-131,
681,5492,2692,-13808,30.04,-265,-163,-144,
682,5448,2712,-13644,30.13,-362,-191,-97,
683,5568,2604,-13752,30.04,-340,-194,-112,
684,5644,2684,-13728,29.99,-334,-181,-136,
685,5564,2684,-13756,29.99,-337,-161,-141,
686,5480,2624,-13960,30.08,-299,-167,-132,
687,5532,2684,-13840,29.99,-337,-169,-125,
688,5492,2644,-13644,29.94,-278,-168,-102,
689,5556,2664,-13760,30.04,-419,-175,-138,
690,5552,2664,-13812,30.08,-364,-186,-121,
691,5564,2744,-13772,29.99,-290,-136,-91,
692,5572,2588,-13696,29.94,-381,-196,-116,
693,5544,2648,-13752,29.94,-372,-133,-83,
694,5540,2712,-13764,29.99,-382,-170,-133,
695,5600,2600,-13928,30.08,-365,-183,-113,
696,5612,2604,-13768,30.04,-362,-178,-148,
697,5516,2728,-13732,29.94,-327,-190,-133,
698,5600,2632,-13792,30.04,-315,-152,-130,
699,5556,2656,-13684,29.94,-325,-199,-153,
700,5512,2668,-13800,30.04,-235,-186,-110,
701,5684,2660,-13760,29.99,-427,-186,-97,
702,5480,2600,-13660,29.89,-334,-183,-137,
703,5668,2760,-13796,29.94,-349,-154,-117,
704,5692,2580,-13688,29.94,-370,-186,-141,
705,5580,2696,-13784,30.04,-344,-140,-96,
706,5592,2608,-13692,30.08,-374,-183,-188,
707,5644,2640,-13836,29.99,-375,-182,-151,
708,5604,2584,-13792,30.04,-383,-170,-133,
709,5592,2660,-13676,30.04,-391,-192,-154,
710,5668,2612,-13936,30.08,-358,-175,-149,
711,5644,2568,-13796,29.99,-326,-182,-116,
712,5540,2592,-13724,30.08,-326,-166,-159,
713,5544,2616,-13988,29.99,-311,-157,-86,
714,5616,2648,-13668,29.94,-358,-217,-148,
715,5656,2708,-13680,30.13,-357,-174,-155,
716,5532,2596,-13892,30.08,-360,-183,-149,
717,5588,2576,-13908,30.08,-290,-200,-162,
718,5568,2600,-13772,30.04,-393,-217,-170,
719,5472,2656,-13904,30.04,-345,-229,-201,
720,5588,2688,-13752,30.04,-383,-205,-174,
721,5572,2636,-13744,30.04,-340,-210,-178,
722,5668,2652,-13904,30.04,-366,-215,-191,
723,5576,2600,-13756,30.04,-422,-234,-176,
724,5532,2680,-13736,30.08,-417,-176,-152,
725,5556,2664,-13764,30.08,-364,-193,-141,
726,5560,2688,-13852,29.99,-452,-222,-157,
727,5540,2692,-13660,29.99,-397,-200,-170,
728,5532,2628,-13680,29.99,-349,-184,-131,
729,5496,2668,-13904,30.04,-330,-176,-180,
730,5616,2636,-13884,30.04,-390,-169,-129,
731,5532,2596,-13836,30.13,-346,-170,-124,
732,5460,2628,-13840,30.04,-304,-171,-100,
733,5524,2616,-13768,30.08,-351,-155,-140,
734,5588,2584,-13672,30.08,-359,-150,-109,
735,5532,2640,-13740,30.08,-337,-163,-118,
736,5564,2656,-13728,30.04,-343,-154,-119,
737,5676,2700,-13936,30.04,-290,-145,-119,
738,5520,2560,-13824,30.04,-432,-179,-103,
739,5476,2624,-13876,29.99,-405,-211,-123,
740,5528,2716,-13924,30.08,-341,-174,-117,
741,5536,2572,-13448,30.08,-332,-202,-105,
742,5608,2652,-13824,30.04,-359,-178,-112,
743,5632,2604,-13804,30.04,-350,-152,-140,
744,5612,2592,-13764,30.04,-309,-138,-114,
745,5496,2688,-13668,30.13,-337,-185,-140,
746,5580,2636,-13788,30.13,-282,-159,-106,
747,5524,2640,-13800,30.08,-342,-151,-102,
748,5600,2624,-13836,30.08,-360,-168,-124,
749,5572,2596,-13860,30.04,-314,-189,-129,
750,5588,2536,-13804,30.13,-355,-188,-107,
751,5688,2584,-13664,30.04,-408,-209,-171,
752,5608,2596,-13928,30.04,-405,-183,-159,
753,5568,2572,-13760,30.04,-338,-170,-85,
754,5548,2540,-13820,30.08,-298,-197,-109,
755,5752,2580,-13688,30.08,-419,-194,-192,
756,5556,2624,-13888,29.89,-410,-196,-181,
757,5464,2604,-13820,30.13,-370,-209,-159,
758,5524,2644,-13784,30.13,-405,-250,-208,
759,5600,2592,-13844,30.13,-390,-230,-174,
760,5600,2588,-13724,30.13,-345,-195,-168,
761,5612,2584,-13792,30.04,-433,-204,-156,
762,5504,2488,-13652,30.04,-377,-213,-177,
763,5612,2688,-13808,30.13,-431,-194,-161,
764,5656,2684,-13716,30.13,-431,-222,-206,
765,5432,2548,-13756,30.04,-379,-178,-161,
766,5600,2628,-13916,29.99,-397,-222,-166,
767,5564,2704,-13920,30.08,-376,-199,-137,
768,5672,2644,-13612,30.08,-403,-212,-155,
769,5496,2656,-13708,30.08,-369,-227,-149,
770,5532,2648,-13704,30.08,-375,-178,-171,
771,5592,2640,-13740,29.99,-321,-181,-134,
772,5472,2644,-13956,30.08,-274,-132,-129,
773,5548,2624,-13876,30.08,-388,-173,-86,
774,5400,2644,-13736,30.04,-264,-166,-69,
775,5548,2716,-13668,30.04,-392,-149,-116,
776,5528,2688,-13852,30.04,-377,-177,-150,
777,5564,2640,-13864,30.13,-272,-160,-42,
778,5604,2604,-13800,30.08,-354,-176,-129,
779,5560,2576,-13864,30.18,-386,-176,-115,
780,5604,2644,-13812,30.08,-370,-190,-139,
781,5508,2716,-13752,30.08,-349,-148,-104,
782,5652,2592,-13868,30.13,-367,-160,-116,
783,5652,2632,-13780,30.13,-328,-167,-148,
784,5568,2588,-13796,30.13,-360,-137,-117,
785,5620,2712,-13808,30.04,-335,-189,-132,
786,5584,2556,-13884,30.08,-274,-201,-144,
787,5676,2636,-13824,30.08,-322,-181,-140,
788,5544,2660,-13892,30.08,-284,-166,-124,
789,5552,2636,-13808,29.99,-346,-179,-135,
790,5608,2556,-13720,30.13,-274,-194,-111,
791,5660,2584,-13760,30.04,-381,-179,-153,
792,5560,2612,-13868,30.13,-318,-186,-162,
793,5548,2604,-13832,30.04,-351,-208,-141,
794,5696,2568,-13812,30.13,-355,-176,-165,
795,5584,2628,-13708,30.08,-376,-138,-131,
796,5592,2532,-13796,30.08,-357,-200,-101,
797,5640,2552,-13752,30.18,-390,-222,-148,
798,5656,2696,-13916,30.08,-396,-178,-102,
799,5540,2628,-13808,30.22,-378,-206,-145,
800,5500,2664,-13864,30.13,-385,-147,-146,
801,5600,2604,-13800,30.13,-336,-194,-188,
802,5536,2492,-13748,30.13,-370,-197,-160,
803,5516,2540,-13756,30.08,-444,-251,-201,
804,5624,2716,-13784,30.08,-396,-174,-204,
805,5596,2696,-13816,30.18,-409,-242,-162,
806,5568,2648,-13636,30.18,-346,-222,-160,
807,5544,2592,-13780,30.04,-399,-221,-163,
808,5556,2624,-13868,30.13,-365,-208,-129,
809,5596,2704,-13724,30.13,-300,-195,-150,
810,5608,2632,-13924,30.13,-432,-182,-171,
811,5604,2688,-13840,30.13,-202,-152,-125,
812,5560,2576,-13744,30.13,-258,-161,-73,
813,5496,2640,-13884,30.08,-323,-177,-176,
814,5500,2620,-13772,30.08,-398,-131,-71,
815,5552,2640,-13824,30.13,-461,-214,-127,
816,5552,2656,-13752,30.13,-378,-185,-126,
817,5616,2664,-13748,30.13,-377,-173,-145,
818,5452,2624,-13732,30.13,-386,-163,-166,
819,5548,2656,-13788,30.13,-343,-159,-107,
820,5644,2572,-13740,30.18,-132,-119,-70,
821,5500,2616,-13872,30.04,-229,-169,-152,
822,5544,2572,-13912,30.13,-509,-211,-237,
823,5376,2732,-13848,30.13,-354,-138,-103,
824,5608,2572,-13704,30.13,-273,-103,-43,
825,5632,2588,-13844,30.13,-350,-154,-139,
826,5524,2544,-13700,30.18,-412,-206,-152,
827,5608,2492,-13736,30.18,-355,-178,-163,
828,5608,2596,-13700,30.18,-306,-154,-36,
829,5632,2532,-13712,30.18,-362,-184,-141,
830,5552,2484,-13808,30.04,-407,-194,-159,
831,5628,2540,-13800,30.13,-359,-171,-121,
832,5644,2580,-13772,30.13,-254,-159,-87,
833,5700,2616,-13784,30.18,-399,-152,-54,
834,5572,2516,-13668,30.18,-361,-180,-147,
835,5500,2672,-13792,30.18,-326,-164,-121,
836,5596,2576,-13740,30.08,-350,-166,-126,
837,5548,2588,-13868,30.18,-350,-187,-116,
838,5616,2628,-13948,30.08,-373,-179,-112,
839,5624,2528,-13720,30.08,-349,-214,-163,
840,5476,2584,-13872,30.18,-358,-190,-154,
841,5668,2628,-14052,30.13,-416,-199,-144,
842,5560,2540,-13888,30.13,-356,-204,-145,
843,5556,2544,-13828,30.13,-421,-207,-163,
844,5592,2604,-13800,30.13,-442,-272,-241,
845,5612,2604,-13900,30.13,-414,-192,-133,
846,5528,2588,-13676,30.08,-446,-262,-203,
847,5460,2636,-13600,30.08,-364,-197,-157,
848,5532,2628,-13672,30.18,-393,-199,-168,
849,5556,2648,-13740,30.18,-334,-186,-129,
850,5560,2612,-13876,30.18,-389,-239,-174,
851,5448,2668,-13696,30.08,-350,-212,-118,
852,5644,2672,-13836,30.13,-381,-216,-150,
853,5448,2752,-13800,30.13,-368,-190,-129,
854,5564,2720,-13764,30.13,-358,-177,-144,
855,5512,2680,-13692,30.13,-297,-153,-129,
856,5616,2588,-13812,30.13,-233,-133,-83,
857,5616,2612,-13808,30.08,-306,-110,-96,
858,5648,2624,-13800,30.22,-400,-143,-109,
859,5508,2628,-13912,30.13,-364,-164,-146,
860,5580,2596,-13764,30.13,-372,-244,-135,
861,5680,2564,-13784,30.13,-376,-148,-97,
862,5536,2612,-13880,30.04,-391,-150,-161,
863,5540,2588,-13680,30.13,-338,-129,-100,
864,5576,2648,-13728,30.08,-321,-160,-103,
865,5636,2576,-13956,30.08,-375,-209,-177,
866,5480,2660,-13716,30.18,-385,-182,-125,
867,5576,2524,-13892,30.08,-319,-164,-128,
868,5688,2532,-13828,30.08,-309,-136,-105,
869,5600,2556,-13724,30.08,-391,-220,-132,
870,5596,2636,-13804,30.18,-332,-144,-106,
871,5496,2640,-13876,30.22,-345,-163,-123,
872,5504,2512,-13656,30.13,-275,-179,-109,
873,5664,2540,-13836,30.13,-364,-207,-123,
874,5592,2588,-13896,30.13,-356,-175,-165,
875,5628,2664,-13816,30.13,-357,-168,-147,
876,5588,2668,-13832,30.13,-360,-175,-141,
877,5564,2572,-13740,30.08,-374,-187,-114,
878,5576,2520,-13716,30.08,-377,-162,-120,
879,5560,2616,-13864,30.08,-354,-188,-178,
880,5664,2568,-13904,30.18,-489,-212,-177,
881,5508,2560,-13820,30.08,-483,-223,-208,
882,5524,2616,-13764,30.08,-393,-190,-144,
883,5704,2664,-13688,30.18,-445,-234,-235,
884,5584,2676,-13824,30.13,-437,-172,-187,
885,5564,2628,-13752,30.13,-353,-225,-209,
886,5452,2644,-13844,30.22,-327,-220,-138,
887,5600,2708,-13848,30.13,-349,-263,-210,
888,5548,2688,-13728,30.13,-228,-198,-215,
889,5640,2624,-13852,30.22,-258,-153,-28,
890,5472,2464,-13940,30.18,-532,-286,-204,
891,5448,2680,-13840,30.18,-356,-132,-61,
892,5700,2696,-13720,30.18,-333,-98,-68,
893,5688,2584,-13904,30.13,-409,-233,-168,
894,5284,2716,-13864,30.18,-393,-161,-139,
895,5676,2680,-13648,30.08,-41,-106,10,
896,5596,2540,-13724,30.13,-315,-273,-224,
897,5372,2544,-13900,30.18,-295,-121,-132,
898,5512,2684,-13832,30.08,-290,-163,-95,
899,5568,2636,-13892,30.22,-291,-195,-110,
900,5644,2504,-13888,30.22,-455,-180,-130,
901,5556,2640,-13708,30.22,-416,-169,-116,
902,5620,2624,-13632,30.13,-256,-185,-139,
903,5600,2576,-13864,30.27,-342,-141,-86,
904,5468,2644,-13844,30.18,-282,-155,-143,
905,5592,2504,-13896,30.22,-328,-164,-116,
906,5600,2432,-13764,30.22,-366,-157,-179,
907,5604,2564,-13688,30.13,-358,-136,-89,
908,5568,2608,-13740,30.18,-364,-201,-144,
909,5544,2548,-13760,30.18,-339,-204,-114,
910,5580,2436,-13828,30.18,-316,-162,-130,
911,5624,2584,-13912,30.18,-271,-147,-76,
912,5664,2596,-13752,30.13,-349,-151,-190,
913,5592,2552,-13780,30.13,-423,-211,-147,
914,5460,2432,-13928,30.13,-326,-189,-141,
915,5576,2560,-13768,30.08,-407,-136,-96,
916,5536,2572,-13720,30.18,-385,-171,-135,
917,5632,2524,-13888,30.32,-464,-201,-163,
918,5540,2540,-13656,30.22,-322,-181,-95,
919,5544,2504,-13544,30.22,-322,-171,-127,
920,5520,2544,-13732,30.13,-313,-154,-100,
921,5592,2504,-13812,30.27,-375,-181,-107,
922,5656,2580,-13832,30.27,-397,-205,-116,
923,5688,2468,-13600,30.18,-323,-165,-151,
924,5632,2696,-13800,30.18,-322,-147,-155,
925,5708,2532,-13708,30.18,-297,-162,-115,
926,5496,2560,-13716,30.22,-278,-183,-132,
927,5616,2536,-13904,30.13,-335,-186,-120,
928,5544,2532,-13904,30.13,-270,-149,-89,
929,5532,2500,-13876,30.18,-361,-173,-123,
930,5760,2468,-13704,30.08,-266,-171,-106,
931,5724,2492,-13912,30.18,-382,-210,-206,
932,5560,2452,-13900,30.18,-414,-237,-256,
933,5640,2480,-13908,30.13,-382,-176,-103,
934,,,,,,,,
935,5624,2424,-13716,30.27,-386,-147,-113,
936,5740,2556,-13840,30.18,-315,-208,-162,
937,5668,2516,-13764,30.13,-388,-222,-163,
938,5612,2548,-13916,30.18,-472,-219,-208,
939,5624,2592,-13796,30.13,-406,-224,-202,
940,5488,2640,-13836,30.27,-413,-246,-200,
941,5604,2616,-13804,30.18,-446,-226,-180,
942,5600,2604,-13840,30.13,-352,-217,-153,
943,5568,2620,-13736,30.27,-375,-236,-170,
944,5608,2500,-13888,30.13,-302,-216,-178,
945,5592,2600,-13764,30.18,-358,-192,-157,
946,5520,2628,-13796,30.32,-401,-226,-200,
947,5600,2604,-13908,30.13,-350,-161,-131,
948,5520,2560,-13752,30.32,-334,-225,-148,
949,5528,2664,-13800,30.27,-357,-169,-114,
950,5448,2576,-13912,30.27,-353,-203,-152,
951,5564,2668,-13860,30.22,-353,-169,-118,
952,5584,2648,-13932,30.18,-353,-175,-153,
953,5580,2608,-13796,30.27,-300,-177,-128,
954,5568,2548,-13688,30.22,-335,-171,-134,
955,5608,2556,-13820,30.22,-239,-161,-104,
956,5536,2604,-13800,30.18,-370,-183,-121,
957,5632,2580,-13816,30.27,-367,-153,-129,
958,5596,2528,-13904,30.32,-295,-157,-61,
959,5608,2540,-13748,30.18,-292,-153,-122,
960,5656,2576,-13740,30.32,-360,-130,-76,
961,5732,2548,-13732,30.22,-345,-173,-138,
962,5516,2684,-13684,30.18,-408,-188,-171,
963,5520,2560,-13784,30.18,-375,-169,-133,
964,5580,2588,-13740,30.27,-316,-163,-123,
965,5592,2504,-13860,30.32,-353,-174,-129,
966,5576,2588,-13664,30.27,-367,-147,-136,
967,5680,2496,-13800,30.18,-323,-146,-119,
968,5604,2496,-13688,30.22,-399,-199,-181,
969,5580,2608,-13788,30.18,-320,-164,-142,
970,5732,2516,-13900,30.18,-326,-149,-91,
971,5616,2492,-13808,30.22,-258,-130,-95,
972,5804,2512,-13812,30.27,-354,-180,-138,
973,5632,2568,-13640,30.22,-414,-205,-164,
974,5536,2540,-13736,30.22,-372,-185,-149,
975,5728,2520,-13748,30.27,-365,-194,-110,
976,5648,2560,-13968,30.27,-398,-184,-122,
977,5540,2476,-13856,30.22,-423,-203,-136,
978,5652,2540,-13812,30.27,-332,-192,-197,
979,5588,2596,-13800,30.27,-439,-187,-194,
980,5688,2568,-13768,30.22,-499,-271,-197,
981,5596,2544,-13732,30.32,-444,-186,-178,
982,5572,2484,-13748,30.27,-403,-231,-141,
983,5620,2556,-13808,30.27,-353,-211,-205,
984,5576,2520,-13688,30.22,-358,-199,-186,
985,5584,2580,-13840,30.32,-398,-233,-182,
986,5600,2556,-13772,30.32,-364,-231,-166,
987,5468,2624,-13756,30.27,-340,-214,-161,
988,5540,2648,-13776,30.27,-367,-216,-173,
989,5628,2644,-13860,30.22,-383,-214,-138,
990,5556,2532,-13688,30.22,-327,-213,-160,
991,5540,2484,-13696,30.27,-281,-209,-135,
992,5616,2588,-13764,30.27,-410,-211,-132,
993,5536,2616,-13844,30.32,-404,-187,-143,
994,5560,2608,-13732,30.22,-382,-187,-155,
995,5636,2616,-13732,30.27,-304,-195,-151,
996,5548,2596,-13872,30.22,-371,-158,-115,
997,5568,2572,-13836,30.32,-333,-195,-129,
998,5636,2648,-13852,30.27,-380,-173,-139,
999,5556,2540,-13900,30.22,-377,-197,-141,
1000,5488,2600,-13744,30.22,-339,-178,-115,
1001,5548,2616,-13884,30.27,-343,-171,-132,
1002,5516,2588,-13860,30.32,-366,-197,-138,
1003,5604,2572,-13740,30.32,-256,-166,-156,
1004,5624,2544,-13728,30.27,-408,-175,-115,
1005,5552,2536,-13756,30.32,-370,-194,-133,
1006,5580,2596,-13712,30.27,-322,-156,-79,
1007,5752,2512,-13744,30.37,-323,-200,-103,
