,-4,-710,192,,,,,,
104,11224,7124,-8480,31.59,-383,-201,-102,,
105,11008,7228,-8384,31.73,-334,-227,-91,,
106,11088,7192,-8644,31.64,-436,-305,-56,,
107,11064,7132,-8472,31.73,-402,-221,-126,,
108,11112,7040,-8412,31.64,-267,147,-87,,
109,11100,7164,-8496,31.73,-252,-346,-85,,
110,10988,7076,-8552,31.73,-338,286,-87,,
111,11148,7112,-8592,31.64,-295,28,-77,,
112,11168,7140,-8588,31.59,-284,-374,-93,,
113,11184,6968,-8484,31.68,-284,-206,-118,,
114,11184,7156,-8400,31.64,-460,-208,-98,,
115,11144,7120,-8672,31.64,-404,-140,-94,,
116,11096,7140,-8564,31.64,-359,-504,-107,,
117,11016,7128,-8468,31.68,-375,-292,-73,,
118,11060,7076,-8480,31.68,-340,-160,-109,,
119,11056,7128,-8660,31.64,-201,-116,-81,,
120,11196,7052,-8732,31.64,-90,-188,-125,,
121,11164,7068,-8448,31.73,-484,-361,-82,,
122,11104,7116,-8428,31.64,-523,-154,-63,,
123,11152,7180,-8804,31.64,-189,452,-79,,
124,11152,6964,-8696,31.64,-587,-483,-53,,
125,11200,7180,-8256,31.73,-200,628,-74,,
126,11144,7024,-8452,31.64,-260,291,-116,,
127,11400,7084,-8468,31.64,-362,-350,-127,,
128,11216,6992,-8320,31.68,-273,-544,-152,,
129,11268,7080,-8680,31.64,-199,-324,-122,,
130,11128,7008,-8364,31.73,-467,-125,-71,,
131,11120,7152,-8536,31.64,-258,201,-109,,
132,11236,7056,-8384,31.54,-400,-379,-60,,
133,11212,7132,-8528,31.59,-334,-113,-125,,
134,11204,7020,-8504,31.59,-420,-208,-105,,
135,11216,6972,-8484,31.73,-500,-455,-142,,
136,11076,7116,-8464,31.64,-296,177,-134,,
137,11280,7084,-8448,31.64,-442,-97,-122,,
138,11176,7108,-8540,31.68,-259,-10,-121,,
139,11268,7092,-8512,31.68,-431,-302,-91,,
140,11252,7056,-8432,31.59,-436,-316,-106,,
141,11144,7240,-8512,31.68,-277,-158,-115,,
142,11072,7096,-8216,31.64,-391,-711,-129,,
143,11468,6996,-8440,31.68,-544,498,-199,,
144,11096,7268,-8368,31.59,-11,-1613,-249,,
145,10944,7204,-8544,31.64,-776,-625,40,,
146,11416,7172,-8184,31.68,-314,778,-23,,
147,11128,7000,-8916,31.59,-146,-1268,-222,,
148,10888,7172,-8260,31.73,-444,144,-27,,
149,11324,7112,-8632,31.64,-365,-433,-89,,
150,11028,6964,-8400,31.64,-358,-307,-104,,
151,11060,7088,-8512,31.54,-394,-35,-137,,
152,11152,7156,-8348,31.68,-526,82,-39,,
153,11236,7080,-8568,31.64,-401,-48,-85,,
154,11156,7092,-8344,31.73,-319,-139,-98,,
155,11116,7044,-8348,31.64,-445,-214,-62,,
156,11088,7124,-8312,31.64,-373,238,-71,,
157,11340,7100,-8548,31.64,-488,140,-221,,
158,11200,6976,-8200,31.73,-393,-418,-180,,
159,11140,7096,-8364,31.64,-384,173,-144,,
160,11212,7212,-8352,31.59,-711,-419,-322,,
161,10896,7328,-8428,31.59,-837,-1086,-721,,
162,11052,7392,-8680,31.82,-862,-1123,-588,,
163,10984,7356,-8316,31.59,-944,#NAME?,,,
164,4868,9104,-3504,31.78,-1629,11840,-3451,,
165,3328,8784,-1196,31.68,-1726,8372,-3726,,
166,5856,9804,-2044,31.64,-30,600,-6135,,
167,9228,14936,-3512,31.64,-3624,-3983,-6710,,
168,9900,15352,-4020,31.68,-5960,-4249,-3575,,
169,9092,10204,-668,31.64,-273,5582,-1213,,
170,7644,12756,-320,31.64,6595,13374,-3995,,
171,7872,13344,-1084,31.64,-9082,-5343,-1630,,
