24.0.00,-122,,,,,,,
550,6692,9540,-10092,31.68,-403,-12,-112,-128
549,6536,9620,-9724,31.68,-306,-187,-122,
550,6692,9540,-10092,31.68,-403,-12,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,-6536,6604,-2284,31.64,-7460,-8629,-6694,
2,-5524,-736,-5520,31.73,32767,22883,-10328,
3,-1716,3804,-10332,31.73,32767,32767,5131,
4,-3856,-2352,-11656,31.64,3770,5601,-8227,
5,-444,3528,-16192,31.73,-4382,-1797,-11936,
6,3004,11416,-25212,31.73,-32768,1134,-26220,
7,3612,-72,-9332,31.68,-32768,8889,-27413,
8,-788,2092,-1448,31.64,32767,-32768,32491,
9,-9792,-3672,-8072,31.68,32767,-23212,23591,
10,1284,1888,-7524,31.59,32767,4282,10961,
11,3036,3712,-15492,31.73,14436,3363,499,
12,-5724,-2160,-17300,31.73,-4802,2878,-5979,
13,-1840,-4500,-13832,31.64,-894,1478,925,
14,-3400,-2384,-12948,31.78,-4068,6707,5929,
15,728,108,-16404,31.73,-4626,8511,4865,
16,4432,11416,-21104,31.73,-20656,6005,-3667,
17,-12312,5028,-11844,31.73,-24228,772,-10199,
18,-1072,5012,-13120,31.73,513,4353,-8192,
19,-3160,1328,-11588,31.68,-724,6767,1170,
20,768,-5436,-12992,31.73,-6020,-8027,6285,
21,1256,3780,-12048,31.64,-3510,1684,5677,
22,1652,7860,-12540,31.78,-5572,1239,10318,
23,1072,4864,-13408,31.64,-25272,7681,-28325,
24,-1028,9812,-14628,31.64,-6354,8569,-5273,
25,1952,7800,-6992,31.68,-5904,12050,-2651,
26,844,17700,-9848,31.73,-13164,-8661,-524,
27,1680,13944,-8404,31.68,385,6827,5132,
28,2308,15276,-11952,31.68,3118Ó                                       ,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,5316,15332,-900,31.64,-389,213,-65,
2,5332,15368,-692,31.73,-204,8,-58,
3,5260,15284,-1168,31.73,145,-226,80,
4,4732,15692,-572,31.64,98,-909,636,
5,5236,15120,-1516,31.64,-82,-1388,59,
6,6068,14488,-1716,31.68,-278,-223,721,
7,5952,14832,-1272,31.73,657,677,1412,
8,5808,15736,-1192,31.68,931,-145,694,
9,5032,16344,-1312,31.73,599,-1772,142,
10,5572,15312,-1864,31.73,-743,-2139,-894,
11,5688,14740,-1492,31.54,-1631,-936,-412,
12,5876,14240,-1440,31.59,-806,1122,324,
13,5700,14836,-1448,31.64,61,1724,875,
14,6016,15496,-1784,31.68,609,1224,-13,
15,5528,15828,-1304,31.59,-341,-539,-945,
16,5632,15452,-1868,31.59,-976,-1034,-1755,
17,5868,14456,-1936,31.73,-139,780,-393,
18,5308,14812,-1600,31.64,1273,1943,584,
19,5904,14824,-1632,31.78,849,1152,923,
20,6160,15468,-812,31.59,685,-356,-200,
21,6428,15572,-1388,31.73,562,-1652,-298,
22,5928,14884,-2528,31.64,658,-1584,305,
23,5412,14612,-2332,31.73,394,-607,499,
24,5388,14604,-1964,31.64,838,69,122,
25,5884,14712,-2552,31.78,302,11,288,
26,6180,14932,-2624,31.73,-107,-200,667,
27,6204,14852,-2592,31.64,-239,-446,315,
28,6136,14608,-2576,31.64,-452,-723,-188,
29,5964,14556,-2396,31.64,-370,-565,-352,
30,5808,14808,-2528,31.73,-206,-308,-444,
31,5868,14740,-2500,31.64,-385,-8,-542,
32,6088,14784,-2580,31.54,-658,62,-651,
33,5984,14908,-2644,31.68,-585,1,-587,
34,5740,14860,-2624,31.64,-417,58,-544,
35,5864,14832,-2592,31.73,-409,37,-376,
36,5688,14852,-2436,31.68,-381,-36,-192,
37,5804,14848,-2580,31.68,34,-22,-101,
38,5744,14896,-2624,31.73,-184,-288,-66,
39,5696,14808,-2588,31.64,-440,-666,178,
40,5840,14864,-2528,31.68,-535,-801,103,
41,5856,14680,-2424,31.68,-765,-985,187,
42,5804,14768,-2456,31.59,-492,-729,128,
43,5788,14632,-2464,31.59,-157,-465,72,
44,5860,14728,-2660,31.64,-63,-469,-33,
45,5912,14872,-2684,31.64,-71,-367,-136,
46,5820,14760,-2692,31.68,5,-174,-111,
47,5816,14724,-2620,31.64,100,109,-221,
48,5776,14712,-2724,31.68,107,121,-294,
49,5732,14720,-2720,31.68,137,306,-490,
50,5828,14724,-2928,31.73,-64,257,-463,
51,5808,14788,-2796,31.68,8,309,-491,
