,-184864,-4192,30.74,-2214,996,-62,,
76,3608,12456,-8284,30.84,-400,-216,-107,
77,3544,12468,-8348,30.84,-371,-187,-194,
78,3656,12544,-8308,30.84,-330,-163,-131,
79,3668,12504,-8320,30.93,-360,-198,-120,
80,3672,12496,-8236,30.84,-392,-229,-129,
81,3672,12560,-8308,30.88,-376,-175,-127,
82,3692,12400,-8372,30.88,-324,-142,-142,
83,3712,12484,-8324,30.88,-398,-172,-179,
84,3680,12524,-8292,30.88,-377,-238,-155,
85,3592,12496,-8332,30.79,-305,-130,-118,
86,3632,12480,-8424,30.84,-356,-223,-103,
87,3568,12568,-8164,30.93,-352,-177,-149,
88,3696,12452,-8400,30.84,-333,-230,-152,
89,3692,12440,-8220,30.84,-492,-297,-151,
90,3560,12460,-8360,30.93,-300,-200,-132,
91,3752,12536,-8412,30.84,-387,-208,-142,
92,3604,12392,-8344,30.79,-409,-247,-189,
93,3684,12492,-8436,30.88,-314,-167,-148,
94,3632,12392,-8276,30.79,-290,-153,-147,
95,3600,12440,-8340,30.88,-388,-222,-137,
96,3592,12428,-8308,30.88,-391,-167,-177,
97,3664,12456,-8384,30.98,-470,-274,-220,
98,3572,12444,-8272,30.84,-416,-275,-200,
99,3580,12416,-8276,30.74,-460,-157,-161,
100,3724,12524,-8360,30.88,-353,-154,-145,
101,3680,12496,-8208,30.84,-424,-216,-160,
102,3708,12444,-8172,30.84,-351,-190,-137,
103,3616,12512,-8348,30.84,-431,-178,-152,
104,3604,12552,-8372,30.79,-343,-137,-145,
105,3628,12476,-8224,30.79,-411,-160,-157,
106,3624,12464,-8180,30.88,-383,-197,-134,
107,3644,12508,-8396,30.79,-355,-164,-155,
108,3556,12504,-8428,30.88,-349,-251,-165,
109,3552,12552,-8344,30.79,-420,-236,-174,
110,3584,12456,-8204,30.79,-257,-158,-145,
111,3564,12484,-8424,30.88,-419,-203,-136,
112,3652,12500,-8216,30.88,-370,-180,-97,
113,3692,12592,-8172,30.79,-370,-212,-145,
114,3648,12476,-8352,30.79,-415,-164,-203,
115,3612,12488,-8140,30.88,156,214,-104,
116,3720,12368,-8432,30.88,-580,-389,-202,
117,3580,12500,-8332,30.88,-398,-293,-116,
118,3672,12464,-8392,30.79,-385,-244,-133,
119,3720,12456,-8248,30.88,-439,-249,-195,
120,3552,12460,-8224,30.88,-252,-19,-158,
121,3592,12484,-8316,30.88,-394,-174,-178,
122,3492,12556,-8200,30.88,-501,-285,-131,
123,3764,12564,-8248,30.79,-258,-95,-143,
124,3624,12396,-8424,30.79,-407,-99,-203,
125,3684,12536,-8152,30.88,-464,-198,-138,
126,3580,12472,-8292,30.93,-314,-252,-158,
127,3584,12412,-8312,30.84,-299,-137,-165,
128,3580,12544,-8344,30.93,-341,-109,-225,
129,3656,12680,-8396,30.84,-229,-47,-211,
130,3716,12512,-8416,30.93,-624,-268,-238,
131,3640,12464,-8192,30.84,-326,-253,-185,
132,3676,12484,-8420,30.93,-404,-345,-105,
133,3628,12524,-8296,30.93,-295,-169,-42,
134,3704,12312,-8396,30.88,-385,-317,-89,
135,3600,12568,-8260,30.88,-393,-313,-113,
136,3608,12472,-8304,30.98,-619,-401,-130,
137,3216,12312,-7344,30.79,-659,-233,-202,
138,3668,12564,-8224,30.79,-607,-211,-203,
139,3516,12484,-8284,30.88,-419,-201,-38,
140,3584,12644,-8316,30.88,-389,-261,-142,
141,3604,12560,-8392,30.88,-359,-257,-165,
142,3548,12480,-8144,30.88,-194,-153,-165,
143,3612,12536,-8116,30.88,-434,-240,-187,
144,3636,12524,-8280,30.79,-346,-198,-183,
145,3440,12560,-8192,30.79,-391,-103,-151,
146,3552,12588,-8212,30.84,-355,-217,-199,
147,3648,12332,-8212,30.84,-246,-198,-140,
