0.6,,,,,,,,
1668,20,12600,-8592,30.41.00,30.41,1107,252,-12
1667,208,12700,-8284,30.41,-169,-428,-112,
1668,20,12600,-8592,30.41,                                             ,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,4568,7096,-19108,30.51,3513,-5656,2569,
2,3740,4908,-14680,30.55,-1732,659,-943,
3,4308,5228,-12564,30.41,-705,-1597,-2107,
4,2412,5052,-15148,30.41,501,-2080,-597,
5,2124,4396,-12692,30.41,737,-2342,-459,
6,2344,4180,-14540,30.37,1987,-5057,-2141,
7,2376,4212,-14676,30.37,2385,-2595,-1213,
8,1700,3580,-14944,30.46,817,965,-1046,
9,1612,3976,-13600,30.41,-696,-1402,1065,
10,760,3092,-15228,30.41,1271,233,-92,
11,1604,2948,-13584,30.41,792,-255,1121,
12,1764,2832,-15140,30.46,1423,-1412,810,
13,1624,2816,-14668,30.46,-710,-412,-852,
14,5640,4244,-14576,30.41,-1495,2124,-1178,
15,1496,3132,-14660,30.46,-520,389,-525,
16,2400,2940,-14840,30.41,-801,-704,-442,
17,2496,3036,-14636,30.41,-690,-647,-1074,
18,2016,2752,-14564,30.6,-805,-342,-1253,
19,1720,3408,-14324,30.51,-733,-801,-1235,
20,1408,3164,-14748,30.51,-683,-1134,-801,
21,1520,2908,-14496,30.41,-1135,-1331,-655,
22,1188,3704,-14796,30.41,-617,-1699,-243,
23,2176,3948,-14796,30.41,-266,-1443,-977,
24,-256,2052,-13104,30.46,1630,536,-1341,
25,220,3824,-15184,30.46,-2641,797,-2117,
26,960,3580,-14484,30.37,98,-1702,191,
27,1540,3712,-14460,30.55,-1071,-1692,-726,
28,1092,2464,-14516,30.46,-254,-474,-920,
29,412,3120,-14116,30.41,-831,-367,-654,
30,476,3652,-14412,30.46,-327,-746,-395,
31,612,3628,-14680,30.41,-921,-469,-694,
32,364,3940,-14032,30.51,-692,-546,-568,
33,252,3616,-14420,30.46,-813,-735,-425,
34,336,3604,-14460,30.51,-841,-1149,-471,
35,664,3776,-14508,30.46,-1133,-962,-904,
36,192,4068,-13976,30.55,-983,-525,-1065,
37,-360,3832,-14320,30.41,-770,-432,-803,
38,12,4020,-14380,30.41,-576,-535,-518,
39,272,4060,-14400,30.46,-596,-259,-550,
40,108,4064,-14212,30.41,-304,25,-580,
41,36,3660,-14412ˇ                                                        ,,,,,
Sample,aX,aY,az,Temp,gX,gY,gz                                                   ,
1,-152,4056,-14356,30.37,-206,-59,-571,
2,-164,4076,-14224,30.41,-151,-65,-527,
3,-240,3936,-14328,30.51,-133,-122,-410,
4,-224,3880,-14272,30.41,-82,-124,-119,
